content|translated|likes|workId|sentiment|country|platform|postTime
Walao. Organic and healthy. Sure Can lose weight.|Walao。有机和健康。当然可以减肥。|2|5|积极|新西兰|Facebook|2023-07-27
一年四季 屋前屋後 青菜水果樣樣有 多可以變成美食 天下奇女子 謝謝分享 感恩|一年四季 屋前屋后 青菜水果样样有 多可以变成美食 天下奇女子 谢谢分享 感恩|2|5|积极|中国|Facebook|2020-07-27
I wish I were you! In my next life, this is Heaven!You bring so so much peace and joy to so many. I always look forward to this..I and so many needed|我要是你就好了!在我的下辈子，这里就是天堂!你给那么多人带来了那么多的平静和喜悦。我一直期待着这一天，我和许多需要帮助的人|4|5|积极|新西兰|Facebook|2023-07-27
Karen Guiizar creo que no te la había mostrado, no hay video que me pierda...quiero una vidaaaaa asiiiiiiiiiiiiiiiiiiii! debo grabar mis videos tu se|Karen Guiizar，我想我没有给你看，我没有错过任何视频…我想要一个生活!我必须录下我的视频|5|5|积极|西班牙|Facebook|2023-07-27
I've been lucky enough to have been watching these videos from day one. I hope there are many more to come!Much love and respect from Kentucky.|我很幸运，从第一天起就一直在看这些视频。我希望以后还会有更多!来自肯塔基州的爱和尊敬。|5|5|积极|澳大利亚|Facebook|2023-07-27
Robyn Nubiandawn this is so cool - she uses black walnuts in here - I have a bunch for you - see you Tuesday!!|Robyn nubianddawn这个太酷了——她在这里用了黑核桃——我有一堆给你——周二见!!|3|5|消极|新西兰|Facebook|2023-07-27
Каждый раз, смотря эти минифильмы получаю огромное эстетическое удовольствие, восхищаюсь героиней, ее красотой, талантом и любовью, удивляюсь мастерс|每次我看这些迷你电影的时候，我都有一种审美上的愉悦感，欣赏女主角、美丽、才华和爱。|0|5|积极|俄罗斯|Facebook|2023-07-27
เธอเป็นผู้หญิงที่เฟอร์เฟค She is a woman that is perfect.|เธอเป็นผู้หญิงที่เฟอร์เฟค她是一个女人,是完美的。|3|5|积极|泰国|Facebook|2023-07-27
Translation: Same as last year A pumpkin road was built this year. There's no time to eat, All grown into sweet, sticky old pumpkins. Steamed pumpkin|翻译:和去年一样，今年建了一条南瓜路。没时间吃东西了，都长成了又甜又粘的老南瓜。蒸南瓜|3|5|积极|加拿大|Facebook|2023-07-27
Молодец,красиво, спокойно, с достоинством и необыкновенно легко собирает овощи и готовит их.Не оторвать взгляд! Хочется о ней узнать больше и больше.|干得好，漂亮，安静，有尊严，非常容易收集和烹饪蔬菜。眼睛盯着我!我想知道更多关于她的事情。|4|5|积极|俄罗斯|Facebook|2023-07-27
很喜歡妳拍的生活點滴的影片讓我看了真羡慕妳的煮飯手藝和用在地的食材幾乎什麼也難不倒妳作為女人的我真 欽佩妳我會時時刻刻的關注妳的影片哦加油|很喜欢妳拍的生活点滴的影片让我看了真羡慕妳的煮饭手艺和用在地的食材几乎什么也难不倒妳作为女人的我真 钦佩妳我会时时刻刻的关注妳的影片哦加油|2|5|积极|中国|Facebook|2020-07-27
Hạnh phúc là mỗi ngày có 1 clip như này để xem|幸福就是每天都有1个这样的片段可以看到|2|5|积极|越南|Facebook|2023-07-27
Every time I watch your videos, I feel calm and relaxed and hungry at the same time. I love your house, your garden and your surroundings. Everything|每次看你的视频，我都感到平静和放松，同时又感到饥饿。我喜欢你的房子，你的花园和周围的环境。一切|5|5|积极|英国|Facebook|2023-07-27
Cảm ơn '' Lý Tử Thất '' đã là nguồn cảm hứng cho tôi ra đời '' Ẩm Thực Mẹ Làm ''Link : https://youtu.be/s6qxtgavdN0|谢谢你的“李子七”启发了我的“妈妈做的菜”链接:https://youtu.be/s6qxtgavdN0|5|5|积极|越南|Facebook|2023-07-27
Your videos are really awesome....your love for nature is really very heart loving....|你的视频真的很棒....你对自然的热爱真的很用心....|0|5|积极|新西兰|Facebook|2023-07-27
Trang Phạm|页犯|2|5|中立|越南|Facebook|2020-07-27
Lizikii I always looking for ur new video..everything so beautiful.i want to visit ur beautiful home ,really..ur cooking style is Soo different.stay |我一直在找你的新视频，一切都很美。我想参观你美丽的家，真的…你的烹饪风格太与众不同了，留下来吧|0|5|积极|澳大利亚|Facebook|2023-07-27
Ahona KhanVideo gula dekhis|Ahona KhanVideo gula dekhis|1|5|中立|西班牙|Facebook|2023-07-27
她看起来非常漂亮和美丽。我喜欢看她做饭。|她看起来非常漂亮和美丽。我喜欢看她做饭。|3|5|积极|中国|Facebook|2020-07-27
Istanbul|伊斯坦布尔|1|5|中立|马耳他|Facebook|2023-07-27
Fan Việt Nam đâu cả gòi nhể|越南球迷在哪里?|3|5|中立|越南|Facebook|2023-07-27
Привет с Украины,восхищению нет придела,жаль что нет перевода (|来自乌克兰的问候，没有赞美，没有翻译|2|5|积极|俄罗斯|Facebook|2023-07-27
真想過這樣的生活遠離塵囂日子過的無憂無慮你真棒樣樣會真羨慕|真想过这样的生活远离尘嚣日子过的无忧无虑你真棒样样会真羨慕|2|5|积极|中国|Facebook|2020-07-27
看到她在摘南瓜聲音好清脆真過癮，真是才女樣樣精通難不倒她|看到她在摘南瓜声音好清脆真过瘾，真是才女样样精通难不倒她|4|5|积极|中国|Facebook|2020-07-27
Lilia Hidalgo Donde consigo esa parte del molino? Esta súper!|莉莉娅·伊达尔戈我从哪里得到那部分磨?是酷毙了!|1|5|积极|西班牙|Facebook|2023-07-27
La qualité de cette vidéo est magnifique|这个视频的质量很好|0|5|积极|法国|Facebook|2023-07-27
มาแล้วๆชอบดูมากๆๆๆๆ|我来了，我喜欢看，我喜欢看。|2|5|积极|泰国|Facebook|2023-07-27
ตามดูทุกคลิปเลยนะคะแม่นางI would love to join your dinner one day|ตามดูทุกคลิปเลยนะคะแม่นาง一天我愿意加入你的晚餐|1|5|中立|泰国|Facebook|2023-07-27
Amazing how she doesn't go to a grocery store. Fresh ingredients around her home.|真奇怪她怎么不去杂货店。她家里到处都是新鲜的食材。|4|5|消极|爱尔兰|Facebook|2023-07-27
拍得很美很精彩，各項技巧也出奇的強大，背後的團隊應是劇組人員。|拍得很美很精彩，各项技巧也出奇的强大，背后的团队应是剧组人员。|4|5|积极|中国|Facebook|2020-07-27
小時候一直不理解，父母爲什麼可以那麼早起牀。長大後才明白，叫醒他們的不是鬧鐘，而是生活和責任。哪有什麼歲月靜好，只不過有人在替你負重前行。|小时候一直不理解，父母为什么可以那么早起牀。长大后才明白，叫醒他们的不是闹钟，而是生活和责任。哪有什么岁月静好，只不过有人在替你负重前行。|5|5|积极|中国|Facebook|2021-07-27
Thật dễ chịu. Ước gì m cũng có mảnh vườn để trồng cây trái thế này. M học được ở đây cách chế biến món ăn tốt cho sk mn trong gđ. Ủng hộ kênh của các|这很好。我希望m有一个花园来种水果。我在这里学会了如何为我的国家做正确的食物。支持这个频道|5|5|积极|越南|Facebook|2023-07-27
我家小花园也种了些棉花，也只是一朵一朵地在收集。。改日见到棉花时一定会想起您，对它会更喜爱。我可要加油加油了!谢谢。|我家小花园也种了些棉花，也只是一朵一朵地在收集。。改日见到棉花时一定会想起您，对它会更喜爱。我可要加油加油了!谢谢。|5|5|积极|中国|Facebook|2020-07-27
子柒的手藝真是太美妙了～也有著一顆愛狗狗的暖心|子柒的手艺真是太美妙了～也有着一颗爱狗狗的暖心|1|5|积极|中国|Facebook|2020-07-27
辛苦了~祝妳(新年快樂幸福美滿）感恩無私分享謝謝|辛苦了~祝妳(新年快乐幸福美满）感恩无私分享谢谢|2|5|积极|中国|Facebook|2020-07-27
There is so much love for Mother Nature, the land, the crafts, the culture and knowledge, self relience and Grandmother and Doggy ... Just pure LOVE|人们对大自然、对土地、对手工艺、对文化、对知识、对自力更生、对奶奶和小狗的爱是如此之多……纯粹的爱|1|5|积极|新西兰|Facebook|2023-07-27
I'm watching you from Italy, every single video you made inspired me and tought me so many things, thank you for showing us these amazing, peaceful v|我在意大利看你，你做的每一个视频都激励了我，教会了我很多东西，谢谢你给我们展示了这些神奇的、和平的v|2|5|积极|新加坡|Facebook|2023-07-27
Todo lo que hace, es perfecto...|他所做的一切都是完美的……|0|5|积极|西班牙|Facebook|2023-07-27
Extremely high effort and determination to make a comforter and mattress from a scratch - from growing the cotton, cotton processing and sewing to th|从零开始制作被子和床垫需要付出极大的努力和决心——从种植棉花、棉花加工到缝纫|1|5|消极|牙买加|Facebook|2023-07-27
对老七的弹棉花制作手法有任何疑问的，请往这里看【转自子柒微博】|对老七的弹棉花制作手法有任何疑问的，请往这里看【转自子柒微博】|2|5|中立|中国|Facebook|2020-07-27
WOW! I am beyond amazed to find out how these was done in olden days.it was very educational for me.To see old , woodworm eaten wood on that contrapt|哇!我非常惊奇地发现这些在过去是如何做到的。这对我很有教育意义。看老了，蛀虫啃木头上那契约|4|5|积极|美国|Facebook|2023-07-27
看了妳的影片，總是令人感動|看了妳的影片，总是令人感动|3|5|积极|中国|Facebook|2020-07-27
每次看李子柒的影片,心裡感覺 異常平靜 舒適,充满正能量 非常療癒|每次看李子柒的影片,心里感觉 异常平静 舒适,充满正能量 非常疗癒|0|5|积极|中国|Facebook|2020-07-27
โอ๊ย Namkang Tunchina คลิปนี้นางน่ารักเว่อร์ ดูตอนแรกก็ชื่นชมความแข็งแรงและความฉลาด แค่เตรียมดินปลูกก็เหนือชั้นละ จากนั้นเอาไปปลูก เก็บเกี่ยว แล้วยัง|哦，这个Namkang Tunchina，她太可爱了。把土壤放在架子上，然后把它放在架子上。|1|5|消极|泰国|Facebook|2023-07-27
You are really amazing and beauty with brain. Wish that u can provide english subtitle also in video and caption|你真是太神奇了，而且很有头脑。希望你能在视频和字幕中提供英文字幕|4|5|积极|加拿大|Facebook|2023-07-27
Wow! Just another great example of her ingenuity! And she made it for her grandma oh. Then she made something warm for the old dog too? I just can’t.|哇!这是她的聪明才智的又一个好例子!她给她奶奶做的哦。然后她也给老狗做了些温暖的东西?我就是不能。|0|5|积极|英国|Facebook|2023-07-27
太棒了，原來棉花是這樣種出來的，讓我大開眼界，從種棉花到製作棉被了不起，李姑娘全方位才能，文武雙全難得一見才女多才多藝。|太棒了，原来棉花是这样种出来的，让我大开眼界，从种棉花到制作棉被了不起，李姑娘全方位才能，文武双全难得一见才女多才多艺。|3|5|积极|中国|Facebook|2020-07-27
真厲害，什麼都會，真棒|真厉害，什么都会，真棒|1|5|消极|中国|Facebook|2020-07-27
How amazing is that?! I just love how the so-called old ways were and still are so inventive and original . Love it!! Just like the silk duvet that w|多么不可思议啊!我就是喜欢那些所谓的老办法过去和现在都是那么有创造力和原创性。爱它! !就像丝绸羽绒被一样|4|5|积极|牙买加|Facebook|2023-07-27
真是難得一見的才女、好像任何事務都難了她'！·|真是难得一见的才女、好像任何事务都难了她'！·|4|5|积极|中国|Facebook|2020-07-27
Hasta el perritoalcanzó una cobijaYo amo todo lo que hace. Todos sus videos muy bonitos siempre dejan algo que aprender|我爱他所做的一切。你所有漂亮的视频总是留下一些东西来学习|2|5|积极|西班牙|Facebook|2023-07-27
多才多藝，古老文化的傳承藝術！一部珍貴的活教材 。|多才多艺，古老文化的传承艺术！一部珍贵的活教材 。|0|5|积极|中国|Facebook|2020-07-27
老祖宗太厲害了，這樣把棉被做出來，妳也太厲害了，居然把這技藝傳承下來，害我第一次生出想知道自己的源頭到底在哪的想法，呵呵|老祖宗太厉害了，这样把棉被做出来，妳也太厉害了，居然把这技艺传承下来，害我第一次生出想知道自己的源头到底在哪的想法，呵呵|5|5|中立|中国|Facebook|2020-07-27
原來棉被製作工序這麼多呀，柒姑娘真是慧心巧手，什麼都會耶～|原来棉被制作工序这么多呀，柒姑娘真是慧心巧手，什么都会耶～|2|5|积极|中国|Facebook|2020-07-27
用時間用智慧用技能 經過視頻的拍攝 展現對生活的美 對奶奶的愛 傳達出對活著的意義 還有表現自己的風格 活的真的漂亮 做自己堅持的創作 永遠是最美的|用时间用智慧用技能 经过视频的拍摄 展现对生活的美 对奶奶的爱 传达出对活着的意义 还有表现自己的风格 活的真的漂亮 做自己坚持的创作 永远是最美的|5|5|积极|中国|Facebook|2020-07-27
李子柒各項才藝純熟 真是嘆為觀止|李子柒各项才艺纯熟 真是叹为观止|0|5|消极|中国|Facebook|2020-07-27
First, this is the first time I see cotton tree in my life. Second, I don’t know what she’s doing with that wooden hand machine untilI see the end pr|首先，这是我有生以来第一次看到棉花树。其次，我不知道她拿着那个木制的手摇机在做什么，直到我看到结尾|4|5|消极|英国|Facebook|2023-07-27
太厲害了~看了感動|太厉害了~看了感动|3|5|积极|中国|Facebook|2020-07-27
คิดถึงตอนเด็กๆ พอถึงเวลาดอกฝ้ายบาน ตอนกลางคืนดูละคร แล้วก็ช่วยแม่อีดฝ้าย(จะเป็นเครื่องมือการรีดเอาเมล็ดฝ้ายออก)ไปด้วยสนุกดี หลังจากอีดเสร็จ ก็จะดีดฝ้|当我还是个孩子的时候，当棉花花在晚上盛开的时候，我帮我的妈妈摘棉花(这是一种榨取棉籽的工具)，这很有趣。|1|5|积极|泰国|Facebook|2023-07-27
太棒了！活了半輩子，今天才大開眼界，原來棉被是這樣制作出來的。|太棒了！活了半辈子，今天才大开眼界，原来棉被是这样制作出来的。|5|5|积极|中国|Facebook|2020-07-27
This is what Made in China really means! Amazingly beautiful video!|这才是中国制造的真正含义!令人惊叹的美丽视频!|3|5|积极|新西兰|Facebook|2023-07-27
