content,translated,likes,workId,sentiment,country,platform,postTime
你说的掰手腕指的什么，剧情还是特效？复联的剧情我觉得只能属于平均水平，就是纯纯的爆米花特效爽片。日常超级英雄拯救世界，美国队长后期刻画的实在令人反感。至于内涵就不说和流浪地球2、星际穿越之类的比了，甚至还不如2012立意高。特效的话国内特效同样不差，一分钱一分货，只要你钱够。,你说的掰手腕指的什么，剧情还是特效？复联的剧情我觉得只能属于平均水平，就是纯纯的爆米花特效爽片。日常超级英雄拯救世界，美国队长后期刻画的实在令人反感。至于内涵就不说和流浪地球2、星际穿越之类的比了，甚至还不如2012立意高。特效的话国内特效同样不差，一分钱一分货，只要你钱够。,0,2,积极,中国,Twitter,2023-07-22,Twitter
让子弹飞 我不是药神 流浪地球,让子弹飞 我不是药神 流浪地球,1,2,积极,中国,Twitter,2023-07-21,Twitter
微博からネタ。「王家衛 ウォン・カーウァイと(映画《流浪地球》シリーズ監督)郭帆の合作が見たい」「最初に誰が発狂するかも」。そこから「少なくとも、劉德華 アンディ・ラウは起用できる(二人の監督と合作済みな為)」「劉德華がまず発狂する」「見たい」に落ち着く,来自微博的段子。“想看王家卫王家卫和郭帆(电影《流浪地球》系列导演)的合作。”“谁会最先发疯?”然后再确定“至少可以启用刘德华(因为和两位导演合作)”“刘德华先发狂”“想看”。,0,2,消极,日本,Twitter,2023-07-20,Twitter
当时看《流浪地球》以及《独行月球》，看到靠近地球的月球以及反过来月球上回望地球就开始浑身难受眼泪不自觉往下掉，那还是虚拟的电影场景，一直没法描述，现在回想真的就是悲凉沧桑一众感受交织,当时看《流浪地球》以及《独行月球》，看到靠近地球的月球以及反过来月球上回望地球就开始浑身难受眼泪不自觉往下掉，那还是虚拟的电影场景，一直没法描述，现在回想真的就是悲凉沧桑一众感受交织,3,2,积极,中国,Twitter,2023-07-15,Twitter
barbie is way better than the wandering earth芭比爆杀流浪地球,barbie is way better than the wandering earth. Barbie is way better than the wandering Earth,5,2,积极,未知国家,Twitter,2023-07-23,Twitter
据说这是《流浪地球2》里太空电梯的原型哦,据说这是《流浪地球2》里太空电梯的原型哦,2,2,积极,中国,Twitter,2023-07-17,Twitter
궤도 엘리베이터 묘사의 정점 The Wandering Earth 2—Space Elevator 4K/60FPS  流浪地球2 太空电梯片段 4K60帧,the wandering轨道电梯描写的顶点earth 2 - space电梯4k / 60fps流浪地放置2古时空电梯连片大字4k60帧,1,2,积极,朝鲜,Twitter,2023-07-15,Twitter
流浪地球，你在说太空河南吗？,流浪地球，你在说太空河南吗？,1,2,积极,中国,Twitter,2023-07-23,Twitter
三体都出了！！流浪地球不出不合适了吧！,三体都出了！！流浪地球不出不合适了吧！,0,2,积极,中国,Twitter,2023-07-21,Twitter
相比流浪地球二特效效果会差一点儿,相比流浪地球二特效效果会差一点儿,0,2,积极,中国,Twitter,2023-07-22,Twitter
跟流浪地球一个级别,跟流浪地球一个级别,2,2,积极,中国,Twitter,2023-07-19,Twitter
這種科技在流浪地球2的中國都有，真的是電影裡什麼都有。,這種科技在流浪地球2的中國都有，真的是電影裡什麼都有。,0,2,积极,中国,Twitter,2023-07-17,Twitter
今世の活字を読む能力は使い果たした的なこと言ってたから来世に期待なのかと思ってたよ！流浪地球はサイエンスフィクションとしても面白いし、劉慈欣名物の圧倒的絶望感と愚かな民衆が良かったでしょ,你说你已经把现在的活字阅读能力都用光了，所以我还以为你是在期待来世呢!流浪地球作为科幻小说也很有趣，刘慈欣有名的压倒性的绝望感和愚蠢的民众很好吧,0,2,积极,日本,Twitter,2023-07-14,Twitter
流浪地球确实不错，我刷了两边,流浪地球确实不错，我刷了两边,1,2,积极,中国,Twitter,2023-07-22,Twitter
今週の読書は「三体」作者の劉慈欣さんの短編集「流浪地球」。「流浪地球」はNetflixで映像化されていて、前に観た記憶がある。(が、話の中身は小説からはかなり改変されていたらしい),本周的阅读是《三体》作者刘慈欣的短篇集《流浪地球》。《流浪地球》曾被Netflix拍成电影，我记得之前看过。(不过，故事内容似乎从小说改编了不少。),2,2,积极,日本,Twitter,2023-07-16,Twitter
反正接下來流浪地球吃蟲子的生活，還不如炸月球,反正接下來流浪地球吃蟲子的生活，還不如炸月球,0,2,积极,中国,Twitter,2023-07-19,Twitter
流浪地球、まさしく宇宙船地球号…,流浪地球，正是宇宙飞船地球号…,0,2,积极,日本,Twitter,2023-07-15,Twitter
ちなみに四作目は邦訳出版された短編集『流浪地球』にも載っている「中国太陽」だった。この作品、邦訳版がよくて面白かったから後々原文と突き合わせて読んでみたいなぁとか。『流浪地球』もどの作品もよかったのだ……,顺带一提，第四部作品是被翻译成日文出版的短篇集《流浪地球》中也有记载的《中国太阳》。这部作品的日译版很好看，很有趣，以后想和原文对照着读。《流浪地球》和其他作品都很好……,1,2,积极,日本,Twitter,2023-07-16,Twitter
其实我认为刘慈欣算是因为三体和流浪地球而被严重误解的一个人了，因为三体和流浪地球这两本宏大叙事的代表作中一本是他的成名作，而另一本被改编成了电影，所以就有很多人认为他是什么邪恶的社达分子，作品不值得一看之类的，我以前也这么认为，不过在看了他另外一些作品之后我就对此有了不同的看法，…显示更多,其实我认为刘慈欣算是因为三体和流浪地球而被严重误解的一个人了，因为三体和流浪地球这两本宏大叙事的代表作中一本是他的成名作，而另一本被改编成了电影，所以就有很多人认为他是什么邪恶的社达分子，作品不值得一看之类的，我以前也这么认为，不过在看了他另外一些作品之后我就对此有了不同的看法，…显示更多,202,2,积极,中国,Twitter,2023-07-16,Twitter
北境酒徒赞同了回答: 《流浪地球 2》的闪回画面有什么含义？ via https://zhihu.com/question/580510953/answer/2996925509…,北境酒徒赞同了回答: 《流浪地球 2》的闪回画面有什么含义？ via https://zhihu.com/question/580510953/answer/2996925509…,0,2,积极,中国,Twitter,2023-07-19,Twitter
为毛没有流浪地球和哪吒之魔童降世,为毛没有流浪地球和哪吒之魔童降世,0,2,积极,中国,Twitter,2023-07-19,Twitter
我还是觉得战狼1，战狼2，红海行动是前三。如果再算上一些别的，那流浪地球1，流浪地球2也不错。看票房就知道了，个个几十亿。我觉得挺不错的，毕竟，除了战狼1，别的我都没看过。。不是我不感兴趣，是国产电影票价太贵了，进口碟中谍，速度与鸡情同一个电影院19.9-29.9，国产那些49起，看不起谁呢,我还是觉得战狼1，战狼2，红海行动是前三。如果再算上一些别的，那流浪地球1，流浪地球2也不错。看票房就知道了，个个几十亿。我觉得挺不错的，毕竟，除了战狼1，别的我都没看过。。不是我不感兴趣，是国产电影票价太贵了，进口碟中谍，速度与鸡情同一个电影院19.9-29.9，国产那些49起，看不起谁呢,0,2,积极,中国,Twitter,2023-07-20,Twitter
そう、明らかに気候が変わってきてますよね。超新星爆発と言ったらベテルギウスだけど、この発想は名作『流浪地球』を読んだ影響かもしれないですまだ梅雨明けしてないのに、先が思いやられる…。,是的，气候明显地发生了变化。说到超新星爆炸就会想到拜尔吉斯，这个想法可能是受到了读了名作《流浪地球》的影响。梅雨还没结束，就已经想到了未来…。,1,2,积极,日本,Twitter,2023-07-16,Twitter
環太平洋2流浪地球富春山居圖長城馬拉松連播（下手會不會太狠？）,環太平洋2流浪地球富春山居圖長城馬拉松連播（下手會不會太狠？）,1,2,消极,中国,Twitter,2023-07-16,Twitter
『流浪地球』収録の「中国太陽」読了。何というか“中国の小さな田舎の村と広大な宇宙”とか“現場の人間の強さと椅子に座って偉そうに理屈こねてるだけの人間の脆さ”みたいな劉慈欣の“癖”がよく出てて面白かった。「郷村教師」を思い出した。,《流浪地球》收录的《中国太阳》读完。怎么说呢，“中国的小乡村的村庄和广阔的宇宙”“现场的人的坚强和坐在椅子上自以为是地讲理的人的脆弱”等刘慈欣的“习惯”经常出现，很有趣。我想起了“乡村教师”。,0,2,积极,日本,Twitter,2023-07-16,Twitter
流浪地球,流浪地球,1,2,积极,中国,Twitter,2023-07-23,Twitter
坚持做事情的困难不在大起大落，而在于一茶一饭。当下正是我的同龄人开始走进各个领域的前沿的时候，但这个时代不要求人们去做难但正确的事情。当下的中国环境，资源不太充沛，但又没法哭穷。海外的中国人，地位不太平等，但又不是少数群体。生,坚持做事情的困难不在大起大落，而在于一茶一饭。当下正是我的同龄人开始走进各个领域的前沿的时候，但这个时代不要求人们去做难但正确的事情。当下的中国环境，资源不太充沛，但又没法哭穷。海外的中国人，地位不太平等，但又不是少数群体。生,7,2,积极,中国,Twitter,2023-07-15,Twitter
流浪地球2里的太空电梯,流浪地球2里的太空电梯,0,2,积极,中国,Twitter,2023-07-23,Twitter
上一个推注销得太果断了，有些东西没搬来，所以发一个观后感《宇宙探索编辑部》观后无感，今天看到了一个零碎视频，或许是因为评分吸引了我，它仅次于流浪地球2还看到个点评说它是成年人的浪漫，不抱期待或者说作为消磨时间看了这部电影,上一个推注销得太果断了，有些东西没搬来，所以发一个观后感《宇宙探索编辑部》观后无感，今天看到了一个零碎视频，或许是因为评分吸引了我，它仅次于流浪地球2还看到个点评说它是成年人的浪漫，不抱期待或者说作为消磨时间看了这部电影,0,2,积极,中国,Twitter,2023-07-15,Twitter
我觉得分水岭是流浪地球,我觉得分水岭是流浪地球,1,2,积极,中国,Twitter,2023-07-21,Twitter
今早看到喔myvide 有流球2點來看發現有點放空在看XD可是快三個小時的片，我體感時間只有兩個小時，好像也沒有很糟糕啦～只是希望它能聚焦或者說可以簡單一點吧～設定很棒然候也有很像羅蘭艾默瑞奇那種災難片格局，可是只學到形的感覺，沒有被娛樂到之類的問題#流浪地球,今早看到喔myvide 有流球2點來看發現有點放空在看XD可是快三個小時的片，我體感時間只有兩個小時，好像也沒有很糟糕啦～只是希望它能聚焦或者說可以簡單一點吧～設定很棒然候也有很像羅蘭艾默瑞奇那種災難片格局，可是只學到形的感覺，沒有被娛樂到之類的問題#流浪地球,0,2,消极,中国,Twitter,2023-07-16,Twitter
快讯：商务部：上半年全国餐饮收入同比增长21.4%，电影票房收入同比增长53%满江红、流浪地球2…！点赞！,快讯：商务部：上半年全国餐饮收入同比增长21.4%，电影票房收入同比增长53%满江红、流浪地球2…！点赞！,1,2,积极,中国,Twitter,2023-07-18,Twitter
中国　2023年映画興行収入が312億元にランキング1位は、チャン・イーモウ監督によるサスペンスコメディ『満江紅』、2位はSF大作『流浪地球』の続編『流浪地球2』、3位は犯罪スリラー作品『行方不明の彼女』だった。#映画興行収入#チャン・イーモウ監督#満江紅,中国2023年电影票房将达312亿元，第一名是张艺谋执导的悬疑喜剧《满江红》，第二名是科幻大片《流浪地球》的续集《流浪地球2》，第三名是惊悚犯罪作品《失踪的他》女人’。#电影票房收入#张艺谋导演#满江红,1,2,积极,日本,Twitter,2023-07-21,Twitter
这届人类基本能正常活到死。其实，地表各派党政军密社现在的所有的作妖也都是想以不同方式应对将发生的“大事件”。只是过程中表现出极其丑陋的形形色色的自私贪婪和残忍。但也是被动应对。很多剧透在“流浪地球”里体现出了。,这届人类基本能正常活到死。其实，地表各派党政军密社现在的所有的作妖也都是想以不同方式应对将发生的“大事件”。只是过程中表现出极其丑陋的形形色色的自私贪婪和残忍。但也是被动应对。很多剧透在“流浪地球”里体现出了。,1,2,积极,中国,Twitter,2023-07-22,Twitter
一講看電影提醒我了，還沒看過戰狼2和流浪地球2（先看哪部呢幹部給個建議,一講看電影提醒我了，還沒看過戰狼2和流浪地球2（先看哪部呢幹部給個建議,3,2,积极,中国,Twitter,2023-07-23,Twitter
『流浪地球』読了。素晴らしき本棚だ。,《流浪地球》读完。很棒的书架。,1,2,积极,日本,Twitter,2023-07-16,Twitter
有一说一在流浪地球那种世界观下，我要是不幸能活到五十岁，我也想414，更何况还是做了一件巨酷的事情再4,有一说一在流浪地球那种世界观下，我要是不幸能活到五十岁，我也想414，更何况还是做了一件巨酷的事情再4,83,2,积极,中国,Twitter,2023-07-18,Twitter
除了沉醉于“流浪地球”的那个人群，谁会相信有别的国家需要暗杀中国的科学家来遏制中国的军事力量发展？更何况，这还是发生在北京。“执行重大任务”可能也是个幌子。为了替某次不光彩的行动正名。也为了给逝者家属一个安慰。,除了沉醉于“流浪地球”的那个人群，谁会相信有别的国家需要暗杀中国的科学家来遏制中国的军事力量发展？更何况，这还是发生在北京。“执行重大任务”可能也是个幌子。为了替某次不光彩的行动正名。也为了给逝者家属一个安慰。,738,2,积极,中国,Twitter,2023-07-15,Twitter
現実では最低限博士号を持ってないと死ぬ側だと思う。愚かな民衆として石を投げよう次の話のミクロ紀元は流浪地球と繋がってるようで全然別の話だから注意ね,在现实生活中，如果没有博士学位，我想就是死路一条。作为一个愚蠢的民众扔石头吧，下一个故事微观纪元好像和流浪地球联系在一起，这是完全不同的故事。,1,2,积极,日本,Twitter,2023-07-14,Twitter
劉慈欣『超新星紀元』早川書房購入。まだ流浪地球読み終わってないのよなー本の内側（帯の折り返した部分）に広告用のQR付けるの、なんなんすかね,刘慈欣《超新星纪元》购买早川书房。《流浪地球》还没看完哦，在书的内侧(腰封的折返处)印上广告用的QR，这是什么啊,2,2,积极,日本,Twitter,2023-07-21,Twitter
说不出来我对这歌有多喜欢…周深 Charlie Zhou Shen《人是_》電影《流浪地球2》“定義”主題曲MV 2023.01.14 https://youtu.be/adcieMCh3Ho 来自 @YouTube,说不出来我对这歌有多喜欢…周深 Charlie Zhou Shen《人是_》電影《流浪地球2》“定義”主題曲MV 2023.01.14 https://youtu.be/adcieMCh3Ho 来自 @YouTube,6,2,积极,中国,Twitter,2023-07-21,Twitter
流浪地球2怎么样,流浪地球2怎么样,0,2,积极,中国,Twitter,2023-07-20,Twitter
流浪地球 (角川書店単行本) https://amzn.to/3K2HmV8 @amazonより,流浪地球(角川书店单行本)https://amzn.to/3K2HmV8 @amazon,0,2,积极,日本,Twitter,2023-07-17,Twitter
流浪地球2也不错,流浪地球2也不错,0,2,积极,中国,Twitter,2023-07-20,Twitter
…其实看流浪地球2的时候，过了四十分钟已经开始无聊了——“啊这不就是编年体历史吗，好困”但是因为大家都吹，好厉害，好牛，嗯，完完全全忽略了自己的感受。,…其实看流浪地球2的时候，过了四十分钟已经开始无聊了——“啊这不就是编年体历史吗，好困”但是因为大家都吹，好厉害，好牛，嗯，完完全全忽略了自己的感受。,0,2,积极,中国,Twitter,2023-07-16,Twitter
还是喜欢流浪地球2,还是喜欢流浪地球2,0,2,积极,中国,Twitter,2023-07-19,Twitter
流浪地球,流浪地球,0,2,积极,中国,Twitter,2023-07-19,Twitter
特效和流浪地球二相比如何？看了预告，感觉有点假。流浪地球二预告片则根本没法重现我在 IMAX 激光上看太空电梯和方舟号的震撼。,特效和流浪地球二相比如何？看了预告，感觉有点假。流浪地球二预告片则根本没法重现我在 IMAX 激光上看太空电梯和方舟号的震撼。,0,2,积极,中国,Twitter,2023-07-22,Twitter
李焕英没看过，消失的她是好的商业片，但是很多地方稍微思考一下处处是bug，国产科幻片个人觉得是流浪地球2，第二部进步很大，无论是特效还是明线暗线都做的很好，里面很多监控视角不知道是不是moss的伏笔，现实题材个人认为是我不是药神，章宇，徐峥，王传君，加钱居士的演技真的好,李焕英没看过，消失的她是好的商业片，但是很多地方稍微思考一下处处是bug，国产科幻片个人觉得是流浪地球2，第二部进步很大，无论是特效还是明线暗线都做的很好，里面很多监控视角不知道是不是moss的伏笔，现实题材个人认为是我不是药神，章宇，徐峥，王传君，加钱居士的演技真的好,4,2,积极,中国,Twitter,2023-07-20,Twitter
这是电影流浪地球的一组照片,这是电影流浪地球的一组照片,0,2,积极,中国,Twitter,2023-07-21,Twitter
19年我看流浪地球两个月后买了同名的小说集，看到的时候就被震撼到了，尤其是朝闻道我那时都理解不了，微观尽头都没有隔阂感，今年看了三体电视剧也被震撼到了，我没钱买实体书也只看完第一部和后面的一些片段，但是我已经想把我和奶糖的经历写进这个世界观了,19年我看流浪地球两个月后买了同名的小说集，看到的时候就被震撼到了，尤其是朝闻道我那时都理解不了，微观尽头都没有隔阂感，今年看了三体电视剧也被震撼到了，我没钱买实体书也只看完第一部和后面的一些片段，但是我已经想把我和奶糖的经历写进这个世界观了,0,2,积极,中国,Twitter,2023-07-20,Twitter
流浪地球也挺不错的,流浪地球也挺不错的,2,2,积极,中国,Twitter,2023-07-19,Twitter
真的轻吗，真不轻。承载着全人类希望的航船，怎么可能轻。这不是简单的诺亚方舟，而是流浪地球。,真的轻吗，真不轻。承载着全人类希望的航船，怎么可能轻。这不是简单的诺亚方舟，而是流浪地球。,0,2,积极,中国,Twitter,2023-07-17,Twitter
说实话自从《流浪地球》之后，好莱坞的炫技般的电影已经不能引起中国观众的好奇。说白了，形式上的新颖，已经无法满足观众。中国观众更倾向于能够文化厚重而又有内容的电影。,说实话自从《流浪地球》之后，好莱坞的炫技般的电影已经不能引起中国观众的好奇。说白了，形式上的新颖，已经无法满足观众。中国观众更倾向于能够文化厚重而又有内容的电影。,0,2,积极,中国,Twitter,2023-07-22,Twitter
好莱坞的电影都是换汤不换药。内容也越来越单调，你看看中国电影，内容越来越有深度了。从情感共鸣的角度来讲，我肯定选中国电影看。另外一点，从《流浪地球》之后，科幻电影在中国已经不在神秘。,好莱坞的电影都是换汤不换药。内容也越来越单调，你看看中国电影，内容越来越有深度了。从情感共鸣的角度来讲，我肯定选中国电影看。另外一点，从《流浪地球》之后，科幻电影在中国已经不在神秘。,0,2,积极,中国,Twitter,2023-07-22,Twitter
吴京转型的很“成功”原来他只是一个不温不火的演员战狼1也就是票房还不错自从吴悠“开窍了”，从战狼2开始强行绑定上爱国爱党，马上票房飞升人气飞升。之后的流浪地球等等也是同理吴京战狼2及以后电影的票房，和战狼2以前是天壤之别。吴京的“开窍”很有商机思维,吴京转型的很“成功”原来他只是一个不温不火的演员战狼1也就是票房还不错自从吴悠“开窍了”，从战狼2开始强行绑定上爱国爱党，马上票房飞升人气飞升。之后的流浪地球等等也是同理吴京战狼2及以后电影的票房，和战狼2以前是天壤之别。吴京的“开窍”很有商机思维,2,2,积极,中国,Twitter,2023-07-21,Twitter
是不是cn,是不是cn,0,2,消极,中国,Twitter,2023-07-20,Twitter
当时看流浪地球，不喜欢剧情，但是就是抑制不住悲伤的感觉，哭的稀里哗啦的,当时看流浪地球，不喜欢剧情，但是就是抑制不住悲伤的感觉，哭的稀里哗啦的,0,2,积极,中国,Twitter,2023-07-15,Twitter
干一炮 多少米,干一炮 多少米,1,2,消极,中国,Twitter,2023-07-20,Twitter
大长腿 大波妹,大长腿 大波妹,2,2,消极,中国,Twitter,2023-07-17,Twitter
#台V #自介是一隻流浪外星紙片貓貓暫時窩在地球上跟工具人共用身體心情好時再收集靈魂(星星)回家哦~FanArt：#yinfeiart(可能會做封面.週表等)FanCut：#yinfeicut FanName：星星Fan符號：常駐頻道：https://youtube.com/@yinfeifeifei/featured…備註：對委託建模或是想找我爸媽一條龍，歡迎聯絡,#台V #自介是一隻流浪外星紙片貓貓暫時窩在地球上跟工具人共用身體心情好時再收集靈魂(星星)回家哦~FanArt：#yinfeiart(可能會做封面.週表等)FanCut：#yinfeicut FanName：星星Fan符號：常駐頻道：https://youtube.com/@yinfeifeifei/featured…備註：對委託建模或是想找我爸媽一條龍，歡迎聯絡,42,2,消极,中国,Twitter,2023-07-17,Twitter
 根據最新研究，「流浪行星」（rogue planets）——也就是不受恆星束縛而在太空中漂移的世界——其數量遠遠超過繞恆星運行的行星（例如地球）。  據NASA科學家估計，在我們的銀河系中，流浪行星的數量是恆星數量的20倍，「數萬億個世界正在獨自徘徊」。#NASA #SETI, 根據最新研究，「流浪行星」（rogue planets）——也就是不受恆星束縛而在太空中漂移的世界——其數量遠遠超過繞恆星運行的行星（例如地球）。  據NASA科學家估計，在我們的銀河系中，流浪行星的數量是恆星數量的20倍，「數萬億個世界正在獨自徘徊」。#NASA #SETI,22,2,积极,中国,Twitter,2023-07-20,Twitter
地球の息吹を感じる場所それが阿蘇とても好きな場所#草千里#中岳火口,感受地球气息的地方。这就是阿苏非常喜欢的地方。#草千里#中岳火山口,19,2,积极,日本,Twitter,2023-07-16,Twitter
网友投稿 《最后生还者》当清零爱好者们纷纷向躺平妥协，开始过正常生活甚至进入电影院三刷流浪地球的时候请记住，在现实世界依然有人默默为人类与病毒的斗争做着最后的坚持与努力。,网友投稿 《最后生还者》当清零爱好者们纷纷向躺平妥协，开始过正常生活甚至进入电影院三刷流浪地球的时候请记住，在现实世界依然有人默默为人类与病毒的斗争做着最后的坚持与努力。,2301,2,积极,中国,Twitter,2023-02-03,Twitter
未来的人矿管理拍摄者是想把它当搞笑视频的，殊不知这可能很快会成为现实听闻《流浪地球2》也在推崇基于芯片和AI的人矿号令模式,未来的人矿管理拍摄者是想把它当搞笑视频的，殊不知这可能很快会成为现实听闻《流浪地球2》也在推崇基于芯片和AI的人矿号令模式,202,2,积极,中国,Twitter,2023-01-26,Twitter
50岁以上的人可以去送死！《流浪地球2》之中国价值观https://twitter.com/dbezuqun/status/1618046353191600128/video/1…,50岁以上的人可以去送死！《流浪地球2》之中国价值观https://twitter.com/dbezuqun/status/1618046353191600128/video/1…,84,2,积极,中国,Twitter,2023-01-26,Twitter
流浪地球 2 预告片看弹幕就行,流浪地球 2 预告片看弹幕就行,25,2,积极,中国,Twitter,2022-12-14,Twitter
看完流浪地球的粉红都是这样的吗？,看完流浪地球的粉红都是这样的吗？,84,2,积极,中国,Twitter,2023-01-26,Twitter
我们天津小姐姐又来啦！我本来对《流浪地球2》不是那么感兴趣，但是看到美国和殖人反贼那么一通骂，那必须得去看看！相比之下，阿凡达就变得 go p 不是了。,我们天津小姐姐又来啦！我本来对《流浪地球2》不是那么感兴趣，但是看到美国和殖人反贼那么一通骂，那必须得去看看！相比之下，阿凡达就变得 go p 不是了。,264,2,积极,中国,Twitter,2023-01-29,Twitter
泽连斯基总统在交战最激烈的巴赫姆特火线接受采访：我们的战士冒着生命危险保护我们，我们哪怕是偶尔冒着生命危险来看望下他们，我觉得这样才算公平。@维克多流浪在地球,泽连斯基总统在交战最激烈的巴赫姆特火线接受采访：我们的战士冒着生命危险保护我们，我们哪怕是偶尔冒着生命危险来看望下他们，我觉得这样才算公平。@维克多流浪在地球,753,2,积极,中国,Twitter,2022-12-20,Twitter
哈哈哈哈女孩喝醉了看流浪地球看到结尾在出租车上呜咽地球救活了～战狼死了!谁来保卫祖国啊？？朋友笑成烧水壶了哈哈哈哈哈哈哈,哈哈哈哈女孩喝醉了看流浪地球看到结尾在出租车上呜咽地球救活了～战狼死了!谁来保卫祖国啊？？朋友笑成烧水壶了哈哈哈哈哈哈哈,200,2,积极,中国,Twitter,2019-02-15,Twitter
中国已找不到一个与政治无关的地方了，连电影院，宗教场所也全部被赤化了，一部《流浪地球》又让许多中国人疯掉了。,中国已找不到一个与政治无关的地方了，连电影院，宗教场所也全部被赤化了，一部《流浪地球》又让许多中国人疯掉了。,115,2,积极,中国,Twitter,2023-01-29,Twitter
"唐靖远老师电影票上印着""只有共产党可以救地球""的《流浪地球2》赤裸裸的丛林价值观：人究竟要有人性、还是兽性不重要；只要自己能活着就行了，为此哪怕杀人都在所不惜这样的人，严格说不是人，他就是禽兽、或徒具人形的僵尸恶鬼这样的人，你会去追随他的作品，去实践这样的价值观和生活方式吗?","唐靖远老师电影票上印着""只有共产党可以救地球""的《流浪地球2》赤裸裸的丛林价值观：人究竟要有人性、还是兽性不重要；只要自己能活着就行了，为此哪怕杀人都在所不惜这样的人，严格说不是人，他就是禽兽、或徒具人形的僵尸恶鬼这样的人，你会去追随他的作品，去实践这样的价值观和生活方式吗?",83,2,积极,中国,Twitter,2023-01-27,Twitter
