"content"|"translated"|"likes"|"workId"|"sentiment"|"country"|"platform"|"postTime"
"Enjoy a #Chinese afternoon tea deep in the #bamboo grove, the refreshingly pungent aroma of the #tea is paired with a bite of #cake that will create "|"在竹林深处享受一杯#中国下午茶，#茶的清新刺鼻的香气搭配上一口#蛋糕，将会产生"|"8"|"18"|"积极"|"新西兰"|"Twitter"|"2023-07-03"|"Twitter"
"a bite of China.舌尖上的中国"|"a bite of China.舌尖上的中国"|"8"|"18"|"积极"|"中国"|"Twitter"|"2023-06-11"|"Twitter"
"So partner with several smaller US manufacturers and build them up so they can keep up with demand. Want to take a bite out of the ones that manufact"|"因此，与几家规模较小的美国制造商合作，扩大规模，使它们能够跟上需求。想从那些制造的人身上分一杯羹"|"19"|"18"|"积极"|"牙买加"|"Twitter"|"2023-03-10"|"Twitter"
"Vietnamese imports taking a bite of China's #durian fervor https://bit.ly/3J8N5YY"|"从越南进口的榴莲正在吞噬中国的榴莲热https://bit.ly/3J8N5YY"|"14"|"18"|"积极"|"新西兰"|"Twitter"|"2023-06-14"|"Twitter"
"https://fb.watch/lV-CsjfM2p/?mibextid=47172i…China began to cryMaa maa what a poor fellow am IChina must vacate Tibet by all means.China will bite th"|"https://fb.watch/lV-CsjfM2p/?mibextid=47172i...China开始哭了，maa maa，我真是个可怜的家伙，中国必须不惜一切代价撤出西藏。中国会咬的。"|"0"|"18"|"积极"|"新加坡"|"Twitter"|"2023-07-21"|"Twitter"
"• #Myanmar junta has moved #AungSanSuuKyi to house arrest• #Mali discontinues use of French as official language• #Russia, #China defence delegations"|"• #Myanmar junta has moved #AungSanSuuKyi to house arrest• #Mali discontinues use of French as official language• #Russia, #China defence delegations"|"1"|"18"|"消极"|"新加坡"|"Twitter"|"2023-07-26"|"Twitter"
"Come take a juicy bite of the Chinese bayberries freshly harvested at a planting base in Dayao County, southwest China's Yunnan Province!"|"Come take a juicy bite of the Chinese bayberries freshly harvested at a planting base in Dayao County, southwest China's Yunnan Province!"|"92"|"18"|"消极"|"新加坡"|"Twitter"|"2023-05-14"|"Twitter"
"#Spring is here to see, and here to #taste!With 2,000+ #CherryBlossom trees from a dozen varieties, it's no wonder tourists are flocking to #Beijing'"|"春天在这里看，在这里品尝!这里有十几个品种的2000多棵樱花树，难怪游客们涌向北京。"|"24"|"18"|"积极"|"爱尔兰"|"Twitter"|"2023-03-15"|"Twitter"
"I recently wrote a scene where a character took lemon instead of milk because she wanted something with a bite. And then you can do a bunch with the "|"我最近写了一个场景，一个角色用柠檬代替牛奶，因为她想要一些有一口的东西。然后你可以做一些"|"1"|"18"|"积极"|"英国"|"Twitter"|"2023-02-16"|"Twitter"
"This would be amazing.Tourists Wanting Internet Points:+25) Add plate, fork and knife+50) fine china and genuine silverware (highly polished)+100) co"|"这太棒了。积分:+25)加盘、叉、刀+50)上等瓷器和纯银餐具(高度抛光)+100)co"|"0"|"18"|"积极"|"澳大利亚"|"Twitter"|"2023-07-21"|"Twitter"
"If you don’t want to impose your worldview on other cultures while you also are against burning dogs, seems like an inconsistency. Would you then bit"|"如果你不想把自己的世界观强加给其他文化，同时又反对烧狗，这似乎是不一致的。你会咬吗?"|"2"|"18"|"积极"|"美国"|"Twitter"|"2023-07-21"|"Twitter"
"Bite into this, all you Western Propagandists about your fucking bullshit Freedom of anything...Even much maligned China does not ban the use of VPN "|"咬一口这个，你们这些西方宣传家狗屁什么自由…即使是饱受诟病的中国也没有禁止使用VPN"|"43"|"18"|"消极"|"美国"|"Twitter"|"2023-04-17"|"Twitter"
"McCarthy will definitely play the role of an anti-China vanguard in US politics. China should also have a few “hawks” that can bite the US. We cannot"|"麦卡锡肯定会在美国政治中扮演反华先锋的角色。中国也应该有一些能咬美国的“鹰派”。我们不能"|"191"|"18"|"积极"|"牙买加"|"Twitter"|"2023-01-07"|"Twitter"
"猫猫今天好好吃饭了吗Today is立春(Start of Spring) st ofSolar Terms in China,we eat Spring pancake with bean sprout&egg in side,meaning a bite of Spring, auspicio"|"Did cat have a good meal Today? Today is Start of Spring st ofSolar Terms in China,we eat Spring pancake with bean sprout&egg in side,meaning a bite of Spring, auspicio"|"6"|"18"|"消极"|"美国"|"Twitter"|"2023-02-04"|"Twitter"
"Life is like a box of chocolates; it’s manufactured in China utilizing single-ply cartonboard with a three-ply glassine pad to protect the contents.A"|"生活就像一盒巧克力;它是在中国制造的，使用单层纸箱，用三层玻璃纸垫来保护里面的东西。一个"|"12"|"18"|"积极"|"新加坡"|"Twitter"|"2023-03-15"|"Twitter"
"    Chinese nurse breaks down over the workload at her hospital. China recently opened up again and is facing a massive wave as societal immunity lev"|"    Chinese nurse breaks down over the workload at her hospital. China recently opened up again and is facing a massive wave as societal immunity lev"|"5"|"18"|"消极"|"美国"|"Twitter"|"2023-01-03"|"Twitter"
"• Protests erupt across #Israel as 1st judicial overhaul bill passed• Man tests positive for #MERS in #AbuDhabi• Strictly implementing #UN sanctions "|"• Protests erupt across #Israel as 1st judicial overhaul bill passed• Man tests positive for #MERS in #AbuDhabi• Strictly implementing #UN sanctions "|"1"|"18"|"消极"|"加拿大"|"Twitter"|"2023-07-25"|"Twitter"
"Woahhh, I'm beginning to see a lot of Chinese engenes already cover bite me!! Ahh, enhypen is very big in china already, I'm sure with this comeback,"|"哇，我开始看到很多中国基因已经复盖咬我了!!啊，汉字在中国已经很流行了，我相信随着这次的回归，"|"125"|"18"|"积极"|"新西兰"|"Twitter"|"2023-05-21"|"Twitter"
"Bite a mouthful of sweetness! Gem-like grapes on the vines glimmer under the sunshine and brim with succulent juice at a plantation of Chishui City, "|"咬一口甜甜的!赤水市的一个种植园里，葡萄藤上像宝石一样的葡萄在阳光下闪闪发光，满溢着汁水。"|"46"|"18"|"积极"|"新西兰"|"Twitter"|"2023-07-07"|"Twitter"
"Burisma Joe, who did your dog bite today? Joe this is Wednesday, did you get your check from Ukraine, Romania or China? Joe, today is a day of reckon"|"乔，你的狗今天咬了谁?乔，今天是星期三，你是从乌克兰、罗马尼亚还是中国拿到支票的?乔，今天是算账的日子"|"0"|"18"|"积极"|"澳大利亚"|"Twitter"|"2023-07-26"|"Twitter"
"Whenever i hear fearmongering about how evil china is and how oppressed the ppl are there…i cant help but think of some random chinese guy…waking up,"|"每当我听到有关中国有多邪恶、人民有多受压迫的恐惧言论时，我就会不由自主地想起一些中国人。"|"7"|"18"|"积极"|"新加坡"|"Twitter"|"2023-05-08"|"Twitter"
"Bite a mouthful of sweetness! Gem-like grapes on the vines glimmer under the sunshine and brim with succulent juice at a plantation of Chishui City, "|"咬一口甜甜的!赤水市的一个种植园里，葡萄藤上像宝石一样的葡萄在阳光下闪闪发光，满溢着汁水。"|"49"|"18"|"积极"|"马来西亚"|"Twitter"|"2023-07-09"|"Twitter"
"Taste the flavor of spring with a bite of #PKU Qingtuan!Qingtuan, a sweet green rice ball, is a traditional food served on the table of thousands of "|"Taste the flavor of spring with a bite of #PKU Qingtuan!Qingtuan, a sweet green rice ball, is a traditional food served on the table of thousands of "|"31"|"18"|"消极"|"英国"|"Twitter"|"2023-04-05"|"Twitter"
"All of this  is exactly why Pierre PoiLIEvre wants to focus ONLY on China... he's opened a can of worms that might bite him in the arse, we can hope!"|"所有这些都是皮埃尔·波利埃夫尔只关注中国的原因。他已经打开了一罐可能会咬他屁股的蠕虫，我们希望!"|"20"|"18"|"积极"|"爱尔兰"|"Twitter"|"2023-03-02"|"Twitter"
"BABA earnings last year was about $100b double of AMZN and similar to AAPL. Cash flow hasn’t really been a problem with this company .. but China pol"|"阿里巴巴去年的收益约为1000亿美元，是亚马逊的两倍，与苹果相当。现金流对这家公司来说并不是问题。但是中国没有。"|"5"|"18"|"积极"|"美国"|"Twitter"|"2023-07-08"|"Twitter"
"If the UK decides to selectively ignore international law then that is a precedent that will bite the UK back.China break The Hong Kong Treaty absorb"|"如果英国决定有选择地无视国际法，那么这是一个先例，将会反咬英国一口。中国撕毁《香港条约》吸收"|"8"|"18"|"积极"|"英国"|"Twitter"|"2023-04-23"|"Twitter"
"U and ur daddy cannot handle Arunachal Pradesh, every month China comes and takes a bite of ur land,and u big mouth still have no shame?First do ur j"|"你和你爸爸都搞不定，中国每个月都来侵占我们的土地，你这个大嘴还不觉得羞耻吗?首先做你的工作。"|"1"|"18"|"积极"|"新西兰"|"Twitter"|"2023-07-25"|"Twitter"
"China imported 825,000 tonnes of durian last year. Vietnamese imports are now taking a bite of the country's durian fervor http://xhtxs.cn/I36"|"去年，中国进口了82.5万吨榴莲。从越南进口的榴莲现在正从这个国家的榴莲热中分一杯羹http://xhtxs.cn/I36"|"28"|"18"|"积极"|"新西兰"|"Twitter"|"2023-06-14"|"Twitter"
"MyID is a real product. they'll push that digital id down our throats one bite at a time, then along with digital currency, we will be enslaved. it's"|"MyID is a real product. they'll push that digital id down our throats one bite at a time, then along with digital currency, we will be enslaved. it's"|"62"|"18"|"消极"|"美国"|"Twitter"|"2023-02-18"|"Twitter"
"• #EU urges #ICC to issue arrest warrant against #Belarus Pres. #Lukashenko• #Pakistan receives $600 mln loan from #China• #US House votes in favour "|"• #EU urges #ICC to issue arrest warrant against #Belarus Pres. #Lukashenko• #Pakistan receives $600 mln loan from #China• #US House votes in favour "|"1"|"18"|"消极"|"新加坡"|"Twitter"|"2023-07-19"|"Twitter"
"Nurse at a hospital in #China  cries. “We’ve been working from 8:00 am to 10:00 pm. No time for a sip of water or a bite of food. #chinacovid #ChinaC"|"#中国一家医院的护士哭泣。“我们从早上8点一直工作到晚上10点。没有时间喝一口水或吃一口食物。# chinacovid # ChinaC"|"5"|"18"|"消极"|"英国"|"Twitter"|"2023-01-08"|"Twitter"
"Ignorant fool. If it came to that, the worse bloody nose we could hope to give China would be a mosquito bite on the end of it! Hockey is just a frau"|"无知的傻瓜。如果真是这样，我们能给中国的最糟糕的鼻血就是被蚊子咬了!曲棍球就是个骗局"|"5"|"18"|"消极"|"新加坡"|"Twitter"|"2023-03-15"|"Twitter"
"Take a bite of #China's #Hainan rice noodles! People often describe them as no thicker than human hair. Noodle-lovers who like a sensation of heat ca"|"来咬一口#中国的#海南米粉吧!人们经常形容它们不比人的头发厚。喜欢热的面条爱好者可以"|"9"|"18"|"消极"|"澳大利亚"|"Twitter"|"2023-03-14"|"Twitter"
"IIn order to have a bite of Nanchang cuisine, you need to stand in line for an hour. Let's take a look at the various traditional delicacies of Nanch"|"为了吃到南昌菜，你得排一个小时的队。让我们来看看南京的各种传统美食"|"10"|"18"|"积极"|"牙买加"|"Twitter"|"2023-05-06"|"Twitter"
"Remember this Chyna Flu, Kung Flu... Trump from the beginning said China was the source of Covid-19, he also favored lab leak over bat bite. Many oth"|"还记得中国流感吗?特朗普从一开始就说中国是新冠病毒的源头，他也更喜欢实验室泄漏而不是蝙蝠咬伤。许多另外一些"|"28"|"18"|"积极"|"加拿大"|"Twitter"|"2023-02-27"|"Twitter"
"People, even the dumbheads in Washington, should remember that the quickest way to an alliance of China, Russia and India is to carry on as if the 'W"|"人们，即使是华盛顿的笨蛋，也应该记住，中国、俄罗斯和印度结成联盟的最快方式是继续把“世界”当作世界联盟"|"1"|"18"|"积极"|"新加坡"|"Twitter"|"2023-04-04"|"Twitter"
"yeah i said “hey safety inspector meat boy here has a lump the size of China on his head and is actually speaking Cantonese which although ironic and"|"是的，我说“嘿，安全检查员，这个肉男孩头上有一个中国那么大的肿块，实际上他说的是广东话，虽然很讽刺"|"7"|"18"|"积极"|"加拿大"|"Twitter"|"2023-04-26"|"Twitter"
"The disproportion in drones is real due to an increase in russian volunteer fundraisers, but that is where China distancing itself will eventually bi"|"由于俄罗斯志愿者筹款活动的增加，无人机的比例失调是真实存在的，但这是中国最终将保持距离的地方"|"1"|"18"|"积极"|"新加坡"|"Twitter"|"2023-07-20"|"Twitter"
"Dude what if Barney showed up tryna rap his way into Count Chocula’s mansion- no way is that little peckerwood getting a bite of that chocolatey good"|"伙计，如果巴尼突然出现，想用说唱的方式进入巧克力伯爵的豪宅，那这个小乡巴佬是不可能吃到巧克力的"|"5"|"18"|"积极"|"爱尔兰"|"Twitter"|"2023-03-28"|"Twitter"
"The US Energy Department told lithium battery company Microvast it will not award it a $200m  grant after lawmakers cited concerns over its alleged l"|"美国能源部对锂电池公司Microvast表示，将不会向其提供2亿美元的拨款。此前，美国国会议员对该公司涉嫌滥用能源的行为表示担忧"|"3"|"18"|"积极"|"加拿大"|"Twitter"|"2023-05-23"|"Twitter"
"I have a new #poem about #RichardNixon making #HenryKissinger pray w/him. While writing it, I was under the delusion that a wicked prestigious journa"|"I have a new #poem about #RichardNixon making #HenryKissinger pray w/him. While writing it, I was under the delusion that a wicked prestigious journa"|"5"|"18"|"消极"|"牙买加"|"Twitter"|"2023-07-23"|"Twitter"
"At the 2023 China Brand Day event in Shanghai, “a bite of Guangdong ” featuring the Tangerine Peel from Xinhui, Dancong tea from Chaozhou, Cantonese "|"At the 2023 China Brand Day event in Shanghai, “a bite of Guangdong ” featuring the Tangerine Peel from Xinhui, Dancong tea from Chaozhou, Cantonese "|"4"|"18"|"中立"|"爱尔兰"|"Twitter"|"2023-05-12"|"Twitter"
"Real ones and people with an ounce of a Brain know all the China shit was a joke. He’s 2nd team all defense of course some team was gonna bite the ba"|"Real ones and people with an ounce of a Brain know all the China shit was a joke. He’s 2nd team all defense of course some team was gonna bite the ba"|"27"|"18"|"消极"|"马来西亚"|"Twitter"|"2023-07-03"|"Twitter"
"On #InternationalMuseumDay, let's take a look at five creative ideas about museums across China:- Take a bite of creative ice creams shaped like icon"|"在#国际博物馆日，让我们来看看中国各地关于博物馆的五个创意:——吃一口图标形状的创意冰淇淋"|"9"|"18"|"积极"|"牙买加"|"Twitter"|"2023-05-18"|"Twitter"
"China needs to tread carefully. The country reimports many of the finished products that are made abroad using rare earths, notes Peter Arkell of the"|"中国需要小心行事。美国稀土协会的彼得•阿凯尔(Peter Arkell)指出，该国重新进口了许多在国外使用稀土制造的成品"|"13"|"18"|"积极"|"加拿大"|"Twitter"|"2023-07-25"|"Twitter"
"Dinosaur vs. mammal: 'Jaw-dropping' fossil reveals prehistoric battle https://nationalgeographic.com/premium/article/dinosaur-vs-mammal-jaw-dropping-"|"恐龙与哺乳动物:“令人瞠目结舌”的化石揭示了史前战争https://nationalgeographic.com/premium/article/dinosaur-vs-mammal-jaw-dropping-"|"0"|"18"|"积极"|"爱尔兰"|"Twitter"|"2023-07-22"|"Twitter"
"Instead of all these happy hours in the corporate world can we do like an afternoon high tea or something. I want to lounge around on a nice velvet c"|"我们能不能做点下午茶之类的事来代替公司里的快乐时光呢?我想懒洋洋地躺在天鹅绒床上"|"8"|"18"|"积极"|"英国"|"Twitter"|"2023-03-16"|"Twitter"
"Take a bite of sticky #food! Trust me, you'll love it. Wonderful flavors will be found in the fusion of #glutinous rice with other ingredients.#snack"|"咬一口黏糊糊的食物!相信我，你会喜欢的。#糯米与其他食材的融合会带来奇妙的味道。#小吃"|"90"|"18"|"积极"|"马来西亚"|"Twitter"|"2023-03-02"|"Twitter"
"China imported 825,000 tonnes of durian last year. Vietnamese imports are now taking a bite of the country's durian fervor -xhtxs.cn/I36"|"去年，中国进口了82.5万吨榴莲。从越南进口的榴莲现在正从这个国家的榴莲热中分一杯羹-xhtxs.cn/I36"|"11"|"18"|"积极"|"马来西亚"|"Twitter"|"2023-06-14"|"Twitter"
"Xinshi yuanzi: A bowl of yam balls, a bite of nostalgia#nostalgia #China"|"新世圆子:一碗山药丸子，一口怀旧#怀旧#中国"|"1"|"18"|"消极"|"牙买加"|"Twitter"|"2023-04-10"|"Twitter"
"Well, that's all fine n dandy, however, which countries will take them en masse, hmm? Russia? China? North Korea? SAE? Iraq? Iran? Which countries wa"|"好吧，这一切都很好，但是，哪些国家会大量接收它们呢?俄罗斯?中国吗?朝鲜吗?SAE吗?伊拉克?伊朗?哪些国家是"|"0"|"18"|"积极"|"爱尔兰"|"Twitter"|"2023-07-26"|"Twitter"
"i was obsessed w season 1 of a bite of china for years and tbh season 2 is great for having feelings. season 3 unsettles and upsets me though"|"多年来，我一直痴迷于《舌尖上的中国》第一季，而《舌尖上的中国》第二季对我的感情来说非常棒。不过第三季让我感到不安和不安"|"1"|"18"|"积极"|"新加坡"|"Twitter"|"2023-04-04"|"Twitter"
"A taste of #green & #freshness!#Elm seed, or Yu Qian 榆钱 (homonym of spare money in Chinese), is bright green, crispy, soft & rich in nutrients. Full "|"一种#绿色& #新鲜的味道!榆树籽，又名“榆钱籽”，绿油油、酥脆、柔软、营养丰富。完整的"|"20"|"18"|"积极"|"新加坡"|"Twitter"|"2023-04-28"|"Twitter"
"Concerning scientists’ motives of gaslighting etc: We say kick the dog and mean the master.So is the whole origin paper hussle meant to continue Chin"|"关于科学家的煤气灯等动机:我们说踢狗，是指主人。因此，整个原产地纸的争斗意味着继续中国"|"0"|"18"|"积极"|"牙买加"|"Twitter"|"2023-07-22"|"Twitter"
"Really enjoyed today's @vittlesmagazine offering - PSA, S2 of A Bite of China is on Prime (something for me to watch while I'm poorly!) https://amazo"|"真的很喜欢今天的@vittlesmagazine提供的PSA，舌尖上的中国S2在Prime上(当我不舒服的时候可以看!)https://amazo"|"2"|"18"|"积极"|"美国"|"Twitter"|"2023-04-03"|"Twitter"
"But more than a focus on tradition, A Bite of China shone a spotlight on the food cultures of the periphery. Sometimes this literally meant the count"|"But more than a focus on tradition, A Bite of China shone a spotlight on the food cultures of the periphery. Sometimes this literally meant the count"|"3"|"18"|"消极"|"新西兰"|"Twitter"|"2023-04-03"|"Twitter"
"A thought provoking question would have been:Does your conscience bite when driving a Tesla EV with all fancy electronics, clothes & perfumes made in"|"A thought provoking question would have been:Does your conscience bite when driving a Tesla EV with all fancy electronics, clothes & perfumes made in"|"18"|"18"|"中立"|"加拿大"|"Twitter"|"2023-06-21"|"Twitter"
"China should be applauded for bringing together these two Islamic antagonist. It is a brilliant stroke of international diplomacy that will leave  Wa"|"中国让这两个伊斯兰对手走到一起应该受到称赞。这是国际外交上的一击妙招，将离开缅甸"|"34"|"18"|"消极"|"美国"|"Twitter"|"2023-04-06"|"Twitter"
"Blew your advance on a braceletPick a line I write that's not as wicked as a sick piranha biteA brick of China white, lit wick on a stick of dynamite"|"选一句我写的诗，不要像食人鱼咬伤那样邪恶。一块白色的砖，在一根炸药上点燃的灯芯"|"7"|"18"|"积极"|"澳大利亚"|"Twitter"|"2023-07-24"|"Twitter"
"Discover Suzhou's Rich Culture and History in a BiteDécouvrez la richesse de la culture et de l'histoire de Suzhou en un clin d'œil"|"一段一段地探索苏州丰富的文化和历史，一瞥苏州丰富的文化和历史"|"1"|"18"|"积极"|"法国"|"Twitter"|"2023-07-18"|"Twitter"
"China had a fleet capable of crossing the oceans, but the Emperor burned the ships.The problem with most human societies is that the tyrant at the to"|"中国有一支能够跨越大洋的舰队，但皇帝烧毁了这些船只。大多数人类社会的问题是，专制者站在社会的顶端"|"0"|"18"|"积极"|"英国"|"Twitter"|"2023-07-19"|"Twitter"
"The fact that this uses the music of a bite of China A show about handmade food"|"事实上，这首歌使用了《舌尖上的中国a》节目的音乐，这个节目是关于手工食品的"|"2"|"18"|"积极"|"澳大利亚"|"Twitter"|"2023-02-18"|"Twitter"
"There's a small but non-zero percent chance China would take a bite out of Russia."|"There's a small but non-zero percent chance China would take a bite out of Russia."|"5"|"18"|"消极"|"新加坡"|"Twitter"|"2023-02-08"|"Twitter"
"I wish I could find the short sound bite where then secretary of state Kerry was beside himself as he pointed out that politicians in China have it m"|"我希望我能找到一段简短的录音，当时的国务卿克里(Kerry)发狂地指出，中国的政客们有这种毛病"|"1"|"18"|"积极"|"牙买加"|"Twitter"|"2023-07-17"|"Twitter"
